date,vader_sentiment
2022-03-10,0.877
2022-05-06,0.9905
2022-07-17,0.9947
2022-09-25,-0.9861
2022-10-07,0.9923
2023-01-18,0.9502
2023-01-25,0.9546
2023-02-13,0.9934
2023-02-27,0.9928
2023-02-28,0.5298
2023-03-01,0.3785
2023-03-02,0.4735
2023-03-03,0.6471
2023-03-04,0.4579
2023-03-05,0.9481
2023-03-06,0.7555
2023-03-07,0.5052
2023-03-08,0.2688
2023-03-09,0.8162
2023-03-10,0.0989
2023-03-11,-0.0695
2023-03-12,-0.9591
2023-03-13,0.0781
2023-03-14,0.2743
2023-03-15,0.7644
2023-03-16,0.5462
2023-03-17,0.8966
2023-03-18,0.0247
2023-03-19,0.0237
2023-03-20,0.7764
2023-03-21,0.6759
2023-03-22,0.6629
2023-03-23,0.7055
2023-03-24,0.5586
2023-03-25,0.915
2023-03-26,0.5394
2023-03-27,0.6517
2023-03-28,0.4947
2023-03-29,0.225
2023-03-30,0.5679
2023-03-31,0.3829
2023-04-01,0.9181
2023-04-02,0.5789
2023-04-03,0.6337
2023-04-04,0.3229
2023-04-05,0.7241
2023-04-06,0.5423
